category,code
1 BHK Apartment,0
1 BHK Independent House,1
1 RK Studio Apartment,2
10 BHK Independent House,3
2 BHK Apartment,4
2 BHK Independent Floor,5
2 BHK Independent House,6
2 BHK Villa,7
3 BHK Apartment,8
3 BHK Independent Floor,9
3 BHK Independent House,10
3 BHK Villa,11
4 BHK Apartment,12
4 BHK Independent Floor,13
4 BHK Independent House,14
4 BHK Villa,15
5 BHK Apartment,16
5 BHK Independent House,17
5 BHK Villa,18
6 BHK Independent House,19
6 BHK Villa,20
7 BHK Independent House,21
8 BHK Independent House,22
9 BHK Independent House,23
Residential Plot,24
